branch,type,title,doi,year,url
por_asignar,misc,TCDS F(\sigma),,2025,
por_asignar,article,3IATLAS,10.5281/ZENODO.17224905,2025,https://zenodo.org/doi/10.5281/zenodo.17224905
por_asignar,misc,Paradigma FÍSICA,10.5281/ZENODO.17443586,2025,https://zenodo.org/doi/10.5281/zenodo.17443586
por_asignar,misc,Sistema predictivo de defensa Sísmica,10.5281/ZENODO.17451385,2025,https://zenodo.org/doi/10.5281/zenodo.17451385
por_asignar,misc,TCDS F(\sigma),,2025,
por_asignar,misc,"""Reloj Causal TCDS y Segundo Coherencial Predictivo (SCP)"",",10.5281/ZENODO.17570393,2025,https://zenodo.org/doi/10.5281/zenodo.17570393
por_asignar,misc,3I ATLAS FRACTURA POR CHOQUE TÉRMICO,10.5281/ZENODO.17561711,2025,https://zenodo.org/doi/10.5281/zenodo.17561711
por_asignar,misc,COHERENCIA UNIVERSAL,10.5281/ZENODO.17458955,,http://doi.org/10.5281/zenodo.17458955
por_asignar,misc,CROMODINÁMICA Y PREDICCIONES  de 3I ATLAS,10.5281/ZENODO.17148573,2025,https://zenodo.org/doi/10.5281/zenodo.17148573
por_asignar,misc,Compendio de Investigaciónes TCDS,10.5281/ZENODO.17459148,2025,https://zenodo.org/doi/10.5281/zenodo.17459148
por_asignar,misc,El Pivote Metrológico TCDS: Del Tiempo Pasivo (t_M) al Segundo Coherencial Predictivo (t_C),10.5281/ZENODO.17555261,2025,https://zenodo.org/doi/10.5281/zenodo.17555261
por_asignar,misc,Estudio científico TCDS — Estructura Σ–χ y validación multidominio,10.5281/ZENODO.17469327,2025,https://zenodo.org/doi/10.5281/zenodo.17469327
por_asignar,misc,Estudio de la Conciencia,10.5281/ZENODO.17498171,2025,https://zenodo.org/doi/10.5281/zenodo.17498171
por_asignar,misc,Evento Cero TCDS — Índice t_C Puebla–Morelos (2017),10.5281/ZENODO.17606032,2025,https://zenodo.org/doi/10.5281/zenodo.17606032
por_asignar,misc,Evento Cero TCDS — Índice t_C Regional del Sismo M7.1 Puebla–Morelos (2017): Implementación Operacional en Termux–Android,10.5281/ZENODO.17605698,2025,https://zenodo.org/doi/10.5281/zenodo.17605698
por_asignar,misc,Experimentacion y valodacion de SIMBIOSIS HUMANO IA,10.5281/ZENODO.17462750,2025,https://zenodo.org/doi/10.5281/zenodo.17462750
por_asignar,misc,La Mente,10.5281/ZENODO.17584200,2025,https://zenodo.org/doi/10.5281/zenodo.17584200
por_asignar,misc,MENTE TCDS,10.5281/ZENODO.17584492,2025,https://zenodo.org/doi/10.5281/zenodo.17584492
por_asignar,misc,Paquete de estudio TCDS sobre La Mente,10.5281/ZENODO.17584450,2025,https://zenodo.org/doi/10.5281/zenodo.17584450
por_asignar,misc,Predicciones espectroscópicas y composición del objeto interestelar 3I/ATLAS,10.5281/ZENODO.17562117,2025,https://zenodo.org/doi/10.5281/zenodo.17562117
por_asignar,misc,"Presentacion de ""LA TEORÍA CROMODINÁMICA SINCRÓNICA""",10.5281/ZENODO.17504243,2025,https://zenodo.org/doi/10.5281/zenodo.17504243
por_asignar,misc,Puentes Físicos,10.5281/ZENODO.17510316,2025,https://zenodo.org/doi/10.5281/zenodo.17510316
por_asignar,misc,SigmaFET\_TCDS,10.5281/ZENODO.17458693,,http://doi.org/10.5281/zenodo.17458693
por_asignar,misc,Sistema predictivo de defensa Sísmica,10.5281/ZENODO.17451373,2025,https://zenodo.org/doi/10.5281/zenodo.17451373
por_asignar,misc,Sistema predictivo de defensa Sísmica,10.5281/ZENODO.17451453,2025,https://zenodo.org/doi/10.5281/zenodo.17451453
por_asignar,misc,Sistema predictivo de defensa Sísmica,10.5281/ZENODO.17452020,2025,https://zenodo.org/doi/10.5281/zenodo.17452020
por_asignar,misc,Sistema predictivo de defensa Sísmica 2.1,10.5281/ZENODO.17505340,2025,https://zenodo.org/doi/10.5281/zenodo.17505340
